golfer,mean,lower_bound_90percent,upper_bound_90percent
GOLFER_NickPrice,0.000133362,-0.000551682,0.002983277
GOLFER_BobFord,0.000136457,-0.005502502,0.002819734
GOLFER_JonathanKaye,0.000152686,-0.011862745,0.001672571
GOLFER_RicardoGonzalez,0.00015472,0.00015472,0.00015472
GOLFER_RamonBescansa,0.000160917,-0.000517159,-0.000517159
GOLFER_BradAdamonis,0.000167452,-0.000532908,0.005776801
GOLFER_AaronBarber,0.00019801,-0.000266657,-0.000266657
GOLFER_DanOlsen,0.000218706,-0.003194546,0.001401741
GOLFER_MikeGrob,0.000220344,-0.004672505,0.001495218
GOLFER_CaseyMartin,0.00023364,0.000570934,0.000570934
GOLFER_ChezReavie,0.000233835,-1.83E-05,-1.83E-05
GOLFER_GusCable,0.000242376,0.000242376,0.000242376
GOLFER_BryceMolder,0.000264892,-0.000620611,-0.000620611
GOLFER_ChipSullivan,0.000267033,-0.001687167,0.005455278
GOLFER_JustinHicks,0.000269744,-0.000739867,0.00391294
GOLFER_TomScherrer,0.000270855,-0.011750216,0.004766138
GOLFER_DanForsman,0.000295109,-0.007400192,0.006163734
GOLFER_JyotiRandhawa,0.000350267,-0.006879224,0.002736826
GOLFER_NickWatney,0.000359615,-0.007477059,0.002716246
GOLFER_MarkHayes,0.000364722,0.000364722,0.000364722
GOLFER_JoeAffrunti,0.000366249,-0.009483446,0.005886223
GOLFER_GeorgeBradford,0.000369015,0.000369015,0.000369015
GOLFER_BrianHenninger,0.000373021,-0.001040462,0.008159658
GOLFER_SteveStricker,0.000405776,-0.001846401,0.008436523
GOLFER_JeffCoston,0.000439318,-0.000494525,0.007344221
GOLFER_TimParun,0.000455398,-0.000640095,0.014427116
GOLFER_CameronDoan,0.000480554,-0.003330254,0.00484728
GOLFER_JamieElliott,0.000481456,0.000815048,0.000815048
GOLFER_DarrenWallace,0.000520906,0.000377961,0.000377961
GOLFER_DelPonchock,0.000539018,-0.00281616,0.000103054
GOLFER_KevinDurkin,0.000559404,-0.001678924,0.002651328
GOLFER_FuzzyZoeller,0.000564292,0.000752391,0.000752391
GOLFER_PeterSenior,0.000595534,-0.000148062,0.002383855
GOLFER_RichBarcelo,0.000614036,-0.001003185,0.013179951
GOLFER_ParkerMcLachlin,0.000619305,-0.002464605,0.009839439
GOLFER_BradFabel,0.00064558,-0.009678223,0.001716047
GOLFER_ColinMontgomerie,0.000646612,0.000510629,0.000510629
GOLFER_MarcoRuiz,0.00067145,-0.004868116,0.010494052
GOLFER_DavidBerganioJr.,0.000672835,0.00031172,0.00031172
GOLFER_PaulHoltby,0.000680703,0.000680703,0.000680703
GOLFER_CharleyHoffman,0.000700231,0.001264691,0.001264691
GOLFER_Lian-WeiZhang,0.000734309,0.000161466,0.000161466
GOLFER_MiguelAngelJimenez,0.000794199,-0.000896641,0.00348124
GOLFER_DarrenClarke,0.000799634,0.001080346,0.001080346
GOLFER_JamesLepp,0.000830752,-0.002128979,0.00081874
GOLFER_RoyBiancalana,0.000833374,-0.000116517,0.016754039
GOLFER_MichaelClarkII,0.000861632,-0.00541473,0.019896905
GOLFER_DavidHearn,0.000862885,-0.006338997,0.002773502
GOLFER_RobertDeruntz,0.00090164,0.000132135,0.018711903
GOLFER_SvenStruver,0.000904259,-0.000507342,0.005540539
GOLFER_MikeSposa,0.000927128,-0.002317539,0.008294395
GOLFER_GeoffreyDean,0.000945271,0.000831282,0.000831282
GOLFER_SpikeMcRoy,0.000972051,0.000856441,0.000856441
GOLFER_GaryWolstenholme,0.000983241,0.000983241,0.000983241
GOLFER_LeeWestwood,0.000983691,-0.000122807,0.004106727
GOLFER_BrianWatts,0.001033502,-0.004519135,0.004015775
GOLFER_DavidCarr,0.001034047,-0.001445992,0.008776392
GOLFER_JimGallagherJr.,0.001036404,0.00021187,0.004469307
GOLFER_RettCrowder,0.001048275,0.001048275,0.001048275
GOLFER_BradHauer,0.001052277,-0.003768475,0.003471282
GOLFER_GregNorman,0.001065502,0.000882325,0.000882325
GOLFER_JohnBermel,0.001097316,-0.00167937,0.006460615
GOLFER_DavidChurch,0.001103012,-0.006216856,0.001606098
GOLFER_PaulStankowski,0.001134096,0.00083553,0.006039539
GOLFER_BradleyHeaven,0.001138234,0.00032638,0.00032638
GOLFER_CraigParry,0.00115364,-0.003780382,0.001181087
GOLFER_DarrellKestner,0.001154032,0.000301067,0.000301067
GOLFER_RyanWelborn,0.001162456,-0.002393198,0.010074552
GOLFER_PeterLonard,0.001174771,0.000263729,0.011159636
GOLFER_AlexCejka,0.001176831,-0.006162254,0.004601548
GOLFER_BradBryant,0.001193217,0.000480057,0.000480057
GOLFER_DaveStocktonJr.,0.001214832,0.001214832,0.001214832
GOLFER_JasonLaing,0.001215859,0.000780576,0.000780576
GOLFER_TjaartvanderWalt,0.001217116,-0.000795999,0.010148382
GOLFER_BenCrenshaw,0.001241457,0.000627675,0.000627675
GOLFER_LeifOlsen,0.001254382,-0.000409645,0.012514694
GOLFER_JoeyMaxon,0.001260425,-8.75E-05,0.018288044
GOLFER_SeanMurphy,0.001273409,0.000725065,0.004818049
GOLFER_StephenSokol,0.001330638,0.001330638,0.001330638
GOLFER_DavidNoll,0.001335725,-9.46E-06,0.002357002
GOLFER_D.J.Trahan,0.001351788,0.000357372,0.006340534
GOLFER_BrettRumford,0.001372114,-0.003710446,0.006069982
GOLFER_DougBarron,0.001381866,0.00044324,0.003221179
GOLFER_MikeSullivan,0.001384461,-0.010161737,0.006309314
GOLFER_JasonGore,0.001424044,-0.007816894,0.002494474
GOLFER_BenoitBeisser,0.00142935,-0.00250036,0.010236927
GOLFER_UlyGrisette,0.001442278,0.000297885,0.005244917
GOLFER_EricAxley,0.001457583,-0.005521333,0.002545469
GOLFER_JohnsonWagner,0.001483837,0.001019668,0.001019668
GOLFER_KevinStadler,0.001490613,0.001301576,0.001301576
GOLFER_PhilBlackmar,0.001494131,-0.000100363,0.00701782
GOLFER_DeanA.Wilson,0.001508751,-0.000113124,0.0143742
GOLFER_ScottMcCarron,0.00151578,0.001460951,0.003016274
GOLFER_RickyBarnes,0.001530366,-0.002497501,0.021697094
GOLFER_CharlesWarren,0.001539358,-0.002835976,0.005357026
GOLFER_PaytonOsborn,0.001563282,0.001228005,0.001228005
GOLFER_SpencerLevin,0.001590087,0.001590087,0.001590087
GOLFER_SteveFriesen,0.001602339,-5.45E-05,0.008427324
GOLFER_NickCassini,0.00160305,0.000367809,0.002771714
GOLFER_TrevorImmelman,0.001613128,-0.000674404,0.011198576
GOLFER_PeteJordan,0.001634052,-0.007762163,0.002727344
GOLFER_KeithClearwater,0.001636754,0.00099766,0.00099766
GOLFER_BrandonKnaub,0.001640322,0.001864284,0.001864284
GOLFER_JimRutledge,0.001665428,-0.001857528,0.004440788
GOLFER_NiclasFasth,0.001703303,-0.005992868,0.003226655
GOLFER_AndyBarrett,0.001715051,0.000310261,0.009442214
GOLFER_BrandtJobe,0.001728858,0.001780393,0.001780393
GOLFER_IanPoulter,0.001747144,-0.006278945,0.002754497
GOLFER_DavidIshii,0.001747648,-0.000381237,0.009547324
GOLFER_TommyTolles,0.001757778,-0.002268733,0.013489328
GOLFER_RonPhiloJr.,0.001766237,0.000720704,0.020329491
GOLFER_MichaelBeard,0.001772247,0.001772247,0.001772247
GOLFER_BrentSchwarzrock,0.00177451,-0.008370407,0.002681653
GOLFER_DavidFrost,0.001814217,0.000737226,0.004335741
GOLFER_JeffGove,0.001843331,0.001105855,0.00200115
GOLFER_KeiichiroFukabori,0.001855225,-0.001276514,0.004818083
GOLFER_JohnEllis,0.001925501,0.001318733,0.012092139
GOLFER_SteveBurns,0.001933358,-0.000919658,0.007410716
GOLFER_ToddBarranger,0.001936919,0.001936919,0.001936919
GOLFER_StevenTate,0.001960209,0.001954672,0.001954672
GOLFER_BrettPaquet,0.001963076,-8.16E-05,0.006549096
GOLFER_KrisCox,0.001969017,0.001004163,0.01018186
GOLFER_BrendanJones,0.001976608,0.000493389,0.013418369
GOLFER_HeathWassem,0.001984071,-0.000924647,0.003949792
GOLFER_GraemeMcDowell,0.002032586,0.002139029,0.002139029
GOLFER_ScottWeatherly,0.002052233,0.000314182,0.002986817
GOLFER_JoakimHaeggman,0.002057082,-0.003214318,0.003175898
GOLFER_CraigBowden,0.002063843,0.000322835,0.002896608
GOLFER_BrianDixon,0.002067276,-0.001112833,0.006893299
GOLFER_DaveEichelberger,0.002077213,-0.002477239,0.009771246
GOLFER_LarryMize,0.002095732,0.001223287,0.004907682
GOLFER_DavidSchnider,0.002102226,0.002102226,0.002102226
GOLFER_StephenWoodard,0.002103565,0.000541756,0.004120062
GOLFER_DaveRummells,0.002117829,0.002309976,0.002309976
GOLFER_IanWoosnam,0.00211997,0.00146304,0.007048072
GOLFER_JohnBungert,0.002146274,-0.000267581,0.005984572
GOLFER_MichaelCampbell,0.002151049,0.001601097,0.003917953
GOLFER_JerrySmith,0.002158242,-0.009346221,0.003350336
GOLFER_ScottPiercy,0.002180925,-0.006816229,0.003904289
GOLFER_StanUtley,0.002182082,0.002182082,0.002182082
GOLFER_SteveSchneiter,0.002187283,0.000928352,0.010740341
GOLFER_GeorgeBurns,0.00219479,-0.003436134,0.00848953
GOLFER_MarkEvenson,0.002205348,-0.005065217,0.020901751
GOLFER_JamieRogers,0.002223446,-0.00493527,0.008757566
GOLFER_KenGreen,0.002239284,0.000145752,0.009068294
GOLFER_TomCarter,0.002239745,-0.000978039,0.008819651
GOLFER_MikeNorthern,0.002261734,0.001961825,0.001961825
GOLFER_EdFiori,0.002269334,0.001433578,0.003036977
GOLFER_LenMattiace,0.002308648,0.001178895,0.012592309
GOLFER_JimmyGreen,0.002310366,0.002095891,0.002095891
GOLFER_ChrisBotsford,0.002323886,-0.002713262,0.003515971
GOLFER_AndrewTschudin,0.002325045,0.001636831,0.012848588
GOLFER_WillieWood,0.002333113,0.000544518,0.002853603
GOLFER_HankKuehne,0.002370914,0.001580579,0.015454722
GOLFER_BrianWilson,0.002371297,-0.003031086,0.014900261
GOLFER_AngelCabrera,0.00239562,0.001002433,0.004358165
GOLFER_TatsuakiNakamura,0.002406556,0.001520535,0.00998723
GOLFER_DerekGillespie,0.002409208,-0.000498337,0.006817932
GOLFER_CraigDoell,0.002426064,0.001761545,0.001761545
GOLFER_WilliamLinkIV,0.002448348,0.001092868,0.004259401
GOLFER_DavidSutherland,0.00245682,0.001839875,0.003203452
GOLFER_DannyMulhearn,0.00246229,0.001800015,0.005532736
GOLFER_KenDuke,0.002469181,0.00029413,0.010228612
GOLFER_ShingoKatayama,0.00250298,0.001583948,0.003629342
GOLFER_CharlieBrown,0.002505918,0.00018182,0.009099832
GOLFER_MiguelRivera,0.002528115,0.002433608,0.002433608
GOLFER_BrandelChamblee,0.002530917,0.000929979,0.008684338
GOLFER_DennisColligan,0.002542638,-0.000755397,0.005028335
GOLFER_ScottHarrington,0.002544447,0.002544447,0.002544447
GOLFER_MarcBourgeois,0.00254797,0.001971802,0.007098963
GOLFER_RickyTouma,0.002560201,0.000767585,0.006263862
GOLFER_MyungJunPark,0.002571606,0.001744577,0.008970895
GOLFER_JoelKribel,0.002589592,0.002589592,0.002589592
GOLFER_DavidBranshaw,0.002590474,0.001132357,0.020195481
GOLFER_RickFehr,0.002594128,-0.000571633,0.003104544
GOLFER_GeorgeBryan,0.002606571,-0.000679126,0.004049483
GOLFER_HunterMahan,0.002639709,0.002639709,0.002639709
GOLFER_RobertThompson,0.002639943,0.00260908,0.00260908
GOLFER_BenCurtis,0.00264271,0.001122258,0.003333478
GOLFER_LonnyAlexander,0.002656245,0.00104172,0.004237788
GOLFER_BruceSmith,0.002660868,-0.0002416,0.014900511
GOLFER_VanceVeazey,0.002677482,0.001068218,0.011407259
GOLFER_MichaelPearson,0.002705308,-4.56E-05,0.003200803
GOLFER_DavidBranham,0.002724748,0.002692129,0.002692129
GOLFER_J.B.Sneve,0.002727183,0.000588009,0.006064762
GOLFER_MikeBakerJr.,0.002727731,0.000205961,0.003415397
GOLFER_MattLoving,0.002758667,0.000435559,0.004559946
GOLFER_AlanMorin,0.002759339,0.002850278,0.002850278
GOLFER_JimmyWalker,0.002778073,0.001182977,0.006288529
GOLFER_CarlAlexander,0.002784895,-0.001655448,0.006284908
GOLFER_HiroyukiFujita,0.002806464,0.002806464,0.002806464
GOLFER_CraigThomas,0.002807958,-0.002143491,0.01342949
GOLFER_DavidMathis,0.002850125,0.001852987,0.020143331
GOLFER_RaymondFloyd,0.002854907,0.00283406,0.00283406
GOLFER_FrankGraziosa,0.002866134,-0.001094439,0.003979978
GOLFER_MikeSchuchart,0.002881117,0.001698319,0.009354695
GOLFER_GeneSauers,0.002894477,0.001584787,0.003838719
GOLFER_GaryPlayer,0.002899262,0.002899262,0.002899262
GOLFER_SteveLowery,0.002908528,-0.004482135,0.006824473
GOLFER_BobbyCochran,0.002919991,0.000837942,0.007882034
GOLFER_CurtisStrange,0.002921791,0.001606789,0.014854574
GOLFER_S.K.Ho,0.002948219,0.002654196,0.004424488
GOLFER_BrandtSnedeker,0.002974154,0.001920097,0.004473186
GOLFER_SeanFarren,0.002977766,0.000659697,0.003732375
GOLFER_KellyMitchum,0.002990669,-0.00681675,0.013153997
GOLFER_CarlPaulson,0.003022918,0.003022918,0.003022918
GOLFER_JefferyW.Martin,0.003037027,0.001659718,0.014143256
GOLFER_ThomasLevet,0.003038433,0.000100219,0.013544745
GOLFER_PhilTataurangi,0.003052097,-3.15E-05,0.00967798
GOLFER_MattSeppanen,0.003053446,0.003071887,0.003071887
GOLFER_AlanSchulte,0.003066159,-0.001627536,0.008490151
GOLFER_SteveGotsche,0.003067186,-0.001095119,0.013870635
GOLFER_OscarAlvarez,0.00307544,0.001780781,0.004800281
GOLFER_EdwardLoar,0.003082086,0.002023025,0.004461567
GOLFER_CaseyBourque,0.003107633,0.001746184,0.012582544
GOLFER_TomWatson,0.003118186,-0.006756972,0.003111091
GOLFER_JasonCaron,0.003134282,-0.000618751,0.003545022
GOLFER_SamRandolph,0.003142242,0.002031908,0.010604594
GOLFER_AndyMorse,0.003154722,0.001088391,0.008426795
GOLFER_MikeAustin,0.003198768,0.003113972,0.003113972
GOLFER_ToshiIzawa,0.003208672,0.000255764,0.006102262
GOLFER_BlaineMcCallister,0.003224204,0.001152511,0.009260121
GOLFER_TrippIsenhour,0.003226703,-0.002775052,0.008633421
GOLFER_TimFleming,0.00323141,0.00323141,0.00323141
GOLFER_BradSutterfield,0.003271348,0.002310645,0.011280096
GOLFER_PaulAzinger,0.003308061,0.001921988,0.004816848
GOLFER_SteveVecellio,0.003321408,0.00137257,0.004374976
GOLFER_DavidOh,0.003325323,-0.000510143,0.012788342
GOLFER_JonathanOta,0.003334996,0.003334996,0.003334996
GOLFER_DavidTentis,0.003338728,0.001682178,0.007970921
GOLFER_AaronBaddeley,0.003345935,0.002002378,0.011655521
GOLFER_MikeStandly,0.003369003,-0.000472511,0.003912888
GOLFER_FrankVana,0.003427438,0.001850419,0.008400525
GOLFER_ScottSimpson,0.003430228,0.000178041,0.003785238
GOLFER_JeffRoth,0.003437856,0.001914132,0.003371453
GOLFER_MarkO'Meara,0.003471723,0.00109914,0.008246737
GOLFER_CaseyWittenberg,0.003472632,0.002408404,0.021798452
GOLFER_CliffKresge,0.003474163,0.003212093,0.003212093
GOLFER_NathanSmith,0.003479123,0.00204677,0.009586171
GOLFER_BrianKortan,0.003492131,0.003492131,0.003492131
GOLFER_BobMucha,0.003543203,0.000429616,0.004457508
GOLFER_IanLeggatt,0.003580597,0.002540267,0.00955485
GOLFER_ShawnKelly,0.003638839,0.003576313,0.003576313
GOLFER_PaulMcGinley,0.003667043,0.004296363,0.004296363
GOLFER_LorenPersonett,0.003718175,0.002400175,0.01992935
GOLFER_BobSowards,0.003729664,0.003729664,0.003729664
GOLFER_GuyBoros,0.003738909,0.000552352,0.015138949
GOLFER_JamieNeher,0.003744563,0.001830471,0.004259135
GOLFER_TomKite,0.0037616,0.0037616,0.0037616
GOLFER_RobMcMillan,0.003804493,-6.46E-05,0.012613552
GOLFER_MikeHeinen,0.003807613,0.00156336,0.010370667
GOLFER_Per-UlrikJohansson,0.003823306,0.003289373,0.003289373
GOLFER_EstebanToledo,0.003864519,-0.000243607,0.00820902
GOLFER_LeeRinker,0.003867829,0.002132539,0.008604446
GOLFER_JonMills,0.003871308,0.00305798,0.015983567
GOLFER_DavidRoesch,0.003883964,0.00219394,0.006633554
GOLFER_HalSutton,0.003925057,0.00054255,0.011141575
GOLFER_MikeHulbert,0.003955411,0.000513362,0.008556969
GOLFER_ThongchaiJaidee,0.0040595,-0.000734043,0.004764465
GOLFER_RichardScott,0.004083396,-0.000651385,0.00589759
GOLFER_ArjunAtwal,0.004102057,0.001656306,0.007360249
GOLFER_D.J.Brigman,0.004107087,0.002755318,0.01268842
GOLFER_ToddGleaton,0.004135904,-0.001370025,0.024571438
GOLFER_RogerMaltbie,0.004156446,-0.000659215,0.006461205
GOLFER_SeanEnglish,0.004183188,0.004098649,0.011040826
GOLFER_KevinHaefner,0.00421994,0.003944522,0.003944522
GOLFER_PatrickPrince,0.004307929,0.002612593,0.005398503
GOLFER_MikeLavery,0.004426359,0.003079891,0.014959476
GOLFER_CharlesCoody,0.004431913,0.00386567,0.008595814
GOLFER_GlenHnatiuk,0.004459117,0.004062867,0.004062867
GOLFER_RickLeibovich,0.004487323,0.001647742,0.00938486
GOLFER_BoydSummerhays,0.004507763,-0.000155832,0.004755903
GOLFER_KevinSavage,0.004531568,0.003536874,0.010122155
GOLFER_TyArmstrong,0.004673755,0.002266889,0.013112608
GOLFER_BradLardon,0.004721761,0.003121903,0.011150233
GOLFER_RodCurl,0.004727309,0.002630142,0.008183189
GOLFER_NickFlanagan,0.004741241,0.003572839,0.024521957
GOLFER_TetsujiHiratsuka,0.004827322,0.004776577,0.004776577
GOLFER_DavidDuval,0.004857351,0.001020675,0.016869204
GOLFER_ChrisWinkel,0.004899096,0.004337132,0.008942654
GOLFER_BrianDavis,0.004903198,0.005053922,0.005053922
GOLFER_TommyAaron,0.004912296,0.003898492,0.011308025
GOLFER_GrantWaite,0.005067294,0.00144579,0.006726584
GOLFER_RobertHamilton,0.005096964,0.004495916,0.00869879
GOLFER_PhillipPrice,0.005320411,0.003316091,0.014432864
GOLFER_MikeHarmon,0.005356646,0.003418497,0.007896832
GOLFER_DeanProwse,0.005360025,0.005360025,0.005360025
GOLFER_CraigStevens,0.00543119,0.004788659,0.006024373
GOLFER_PaulLawrie,0.005645225,0.000827392,0.008947225
GOLFER_PatrickDamron,0.005674764,0.005295334,0.011942959
GOLFER_JohnAber,0.005676035,0.003494733,0.011838398
GOLFER_DickyPride,0.005857432,0.001919685,0.01139888
GOLFER_TrevorDodds,0.005964682,0.00411458,0.006856974
GOLFER_FultonAllem,0.006286996,0.003674358,0.027171212
GOLFER_ThomasBjorn,0.00644191,0.004802914,0.008306687
GOLFER_TimTims,0.006723488,0.005419602,0.020597512
GOLFER_TedTryba,0.006798893,0.003920558,0.017757021
GOLFER_MarkBrooks,0.006844094,0.00525485,0.022340145
GOLFER_DavidMorlandIV,0.007054256,0.005490785,0.00815552
GOLFER_JeffreyLankford,0.007083414,0.000894922,0.00850185
GOLFER_ArnoldPalmer,0.007160011,0.006337296,0.021154745
GOLFER_HirofumiMiyase,0.007362212,0.004003368,0.014381911
GOLFER_BobLohr,0.007476664,0.005949533,0.013600493
GOLFER_PatrickMoore,0.008621015,0.006069763,0.026714457
GOLFER_KevinMuncrief,0.008690929,0.003818803,0.017228053
GOLFER_JohnMaginnes,0.008876956,0.006285351,0.014085064
GOLFER_ChrisCouch,0.00929214,0.006716962,0.015029284
GOLFER_DavidGossett,0.020467921,0.011301774,0.0511917
